date,time,temp,hum,dust,mdust
2024-10-18,18:53:57,24,62,0,0
2024-10-18,18:54:27,24,62,0,0
2024-10-18,18:54:58,24,62,0,0
2024-10-18,18:56:24,24,62,1,1
2024-10-18,18:56:36,24,62,1,1
2024-10-18,18:56:47,24,62,1,1
2024-10-18,18:56:58,24,62,0,0
2024-10-18,18:57:09,24,62,0,0
2024-10-18,18:57:21,25,71,0,0
2024-10-18,18:57:32,26,72,0,0
2024-10-18,18:57:43,25,70,1,0
2024-10-18,18:57:55,25,69,0,0
2024-10-18,18:58:06,25,68,0,0
2024-10-18,18:58:17,25,67,0,0
2024-10-18,18:58:28,25,66,0,0
2024-10-18,18:58:40,25,65,0,0
2024-10-18,18:58:51,25,64,0,0
2024-10-18,18:59:02,24,64,0,0
2024-11-05,15:04:36,23,39,3,3
2024-11-05,15:06:43,23,39,4,3
2024-11-05,15:07:12,23,39,4,3
2024-11-05,15:07:42,23,39,3,3
2024-11-05,16:05:20,23,43,2,2
2024-11-05,16:09:09,23,40,2,2
2024-11-05,16:16:41,24,39,1,1
2024-11-05,17:58:55,20,35,1,0
2024-11-05,18:02:41,22,37,0,0
2024-11-05,18:03:11,22,37,1,1
2024-11-05,18:03:40,22,37,1,0
2024-11-05,18:04:09,22,37,2,2
2024-11-05,18:04:38,22,37,3,1
2024-11-05,18:05:08,22,37,2,1
2024-11-05,18:05:37,22,37,1,1
2024-11-05,18:06:06,22,37,0,0
2024-11-05,18:06:35,22,37,2,1
2024-11-05,18:07:05,22,37,2,2
2024-11-05,18:08:10,22,37,0,0
2024-11-05,18:08:39,22,37,0,0
2024-11-05,18:10:11,22,37,0,0
2024-11-05,18:11:17,22,37,0,0
2024-11-05,18:11:47,22,37,0,0
2024-11-05,18:15:55,22,37,0,0
2024-11-05,18:16:05,22,38,1,1
2024-11-05,18:16:35,22,38,1,1
2024-11-05,18:17:04,22,38,0,0
2024-11-05,18:17:33,22,38,0,0
2024-11-05,18:18:02,22,38,0,0
2024-11-05,18:18:32,22,38,0,0
2024-11-05,18:19:01,22,38,0,0
2024-11-05,18:19:30,22,38,0,0
2024-11-05,18:19:59,22,38,0,0
2024-11-05,18:20:29,22,38,0,0
2024-11-05,18:20:58,22,38,1,1
2024-11-05,18:22:26,22,38,0,0
2024-11-05,18:22:35,22,38,1,1
2024-11-05,18:23:04,22,38,1,1
2024-11-05,18:29:09,22,38,0,0
2024-11-05,18:29:38,23,38,0,0
2024-11-05,19:01:17,23,38,1,1
2024-11-05,19:02:30,23,38,2,2
2024-11-05,19:04:45,23,38,0,0
2024-11-05,19:07:36,23,38,0,0
2024-11-05,19:14:36,23,38,1,1
2024-11-05,19:15:05,23,38,1,1
2024-11-05,19:15:34,23,38,0,0
2024-11-05,19:16:43,23,38,1,1
2024-11-05,19:18:36,23,38,1,1
2024-11-05,19:18:48,23,38,0,0
2024-11-05,19:20:49,23,38,1,1
2024-11-05,19:21:23,23,38,1,1
2024-11-05,19:21:52,23,38,1,1
2024-11-05,19:25:45,23,38,1,1
2024-11-05,19:26:16,23,38,1,1
2024-11-06,16:40:45,21,34,4,4
2024-11-06,16:42:03,23,35,5,4
2024-11-06,16:42:53,23,35,1,1
2024-11-06,16:43:14,23,35,4,2
2024-11-06,16:43:37,23,35,4,4
2024-11-06,16:52:00,23,35,2,2
2024-11-07,15:08:50,21,29,37,32
2024-11-07,15:14:55,22,26,36,30
2024-11-07,15:16:59,22,26,36,33
2024-11-07,15:19:50,22,26,35,31
2024-11-07,15:23:22,22,26,36,33
2024-11-07,15:27:15,22,26,37,33
2024-11-07,15:28:11,22,26,33,32
2024-11-07,15:37:39,22,26,34,32
2024-11-07,15:40:06,21,26,34,32
2024-11-07,15:41:53,21,26,37,34
2024-11-11,14:43:24,22,45,31,28
2024-11-11,14:43:54,23,44,33,30
2024-11-11,14:45:32,23,44,31,28
2024-11-11,14:48:24,23,43,31,30
2024-11-11,14:51:09,23,44,26,26
2024-11-11,14:51:38,23,43,25,25
2024-11-11,14:53:20,24,43,31,30
2024-11-11,14:53:49,24,43,33,32
2024-11-11,14:54:18,24,43,36,31
2024-11-11,16:26:42,21,47,38,33
2024-11-11,16:27:11,23,44,36,32
2024-11-11,16:27:40,23,44,27,27
2024-11-11,16:28:09,23,44,37,32
2024-11-11,16:28:39,23,44,33,31
2024-11-11,16:35:45,23,44,32,30
2024-11-11,16:36:14,23,45,32,30
2024-11-11,16:36:44,23,45,33,30
2024-11-14,17:04:41,21,50,8,6
2024-11-14,17:07:28,23,48,7,7
2024-11-14,17:07:41,23,48,7,7
2024-11-14,17:13:58,23,48,8,8
2024-11-14,17:15:31,23,48,8,8
2024-11-14,18:12:37,23,48,13,13
2024-11-14,18:16:04,22,47,15,15
2024-11-14,18:16:34,22,47,15,15
2024-11-14,18:17:20,22,47,21,19
2024-11-14,18:17:49,22,47,21,20
2024-11-14,18:18:51,23,47,21,21
2024-11-14,18:19:20,22,47,21,21
2024-11-15,14:24:29,24,49,18,17
2024-11-15,14:24:57,25,48,22,21
2024-11-15,14:25:41,25,48,22,21
2024-11-15,14:27:56,25,48,16,16
2024-11-15,14:35:28,26,48,22,21
2024-11-15,14:35:57,26,47,22,21
2024-11-15,14:36:26,26,47,20,20
2024-11-18,17:35:16,23,32,1,1
2024-11-18,17:37:02,23,32,0,0
2024-11-18,17:39:59,23,31,0,0
2024-11-18,17:45:25,23,31,1,1
2024-11-18,17:45:55,23,31,1,1
2024-11-18,17:48:25,23,32,1,1
2024-11-18,17:48:54,23,32,1,1
2024-11-18,17:49:23,23,32,2,2
2024-11-18,17:49:53,23,32,0,0
2024-11-18,17:50:22,23,43,0,0
2024-11-19,20:33:37,17,39,2,2
2024-11-19,20:34:06,21,42,1,1
